Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,90955,,603,,59664,146,60397,
2002-11-01,82132,,588,,57058,733,54671,
2002-12-01,83652,,588,,63031,693,64113,
2003-01-01,85257,,618,,52720,584,54008,
2003-02-01,72540,,523,,49791,489,50934,
2003-03-01,83133,,613,,57639,520,57977,
2003-04-01,78991,,574,,58518,572,57970,
2003-05-01,85229,,632,,66375,591,65680,
2003-06-01,84607,,612,,66469,552,66515,
2003-07-01,85866,,594,,67130,739,69365,
2003-08-01,83673,,575,,67939,546,69780,
2003-09-01,78828,,579,,57618,437,57474,
2003-10-01,83645,,626,,64210,481,63798,
2003-11-01,80742,,586,,61576,498,60682,
2003-12-01,80635,,581,,63898,503,65318,
2004-01-01,80263,,594,,49655,325,51872,
2004-02-01,78924,,590,,52995,377,54755,
2004-03-01,85372,,628,,60360,406,62080,
2004-04-01,80404,,617,,63195,549,61402,
2004-05-01,84049,,609,,66194,288,65771,
2004-06-01,82631,,593,,68883,495,69296,
2004-07-01,84533,,606,,69470,542,71088,
2004-08-01,85482,,622,,76094,705,75862,
2004-09-01,82839,,591,,65609,821,64689,
2004-10-01,87205,,605,,67412,619,65532,
2004-11-01,81426,,582,,62813,430,61424,
2004-12-01,81072,,579,,64529,382,65218,
2005-01-01,76914,,544,,51348,442,53404,
2005-02-01,75369,,537,,53881,559,54822,
2005-03-01,84137,,602,,61809,627,64025,
2005-04-01,82448,,590,,68197,680,66387,
2005-05-01,83504,,596,,69949,402,69547,
2005-06-01,82592,,614,,73020,262,73212,
2005-07-01,82467,,612,,70625,241,72202,
2005-08-01,86827,,659,,74360,363,74397,
2005-09-01,85560,,629,,68280,438,66765,
2005-10-01,88016,,638,,71674,485,70812,
2005-11-01,82690,,590,,70069,299,68837,
2005-12-01,82018,,580,,67563,324,68862,
2006-01-01,80734,,566,,61431,326,63352,
2006-02-01,73124,,511,,56759,639,57728,
2006-03-01,84506,,588,,69605,676,71017,
2006-04-01,83667,,578,,72041,636,72425,
2006-05-01,99300,,648,,80079,377,84973,
2006-06-01,100579,,638,,85146,315,89599,
2006-07-01,101446,,630,,84142,411,90395,
2006-08-01,106387,,671,,84302,539,89848,
2006-09-01,95889,,615,,69189,434,72775,
2006-10-01,101083,,652,,77455,419,82215,
2006-11-01,102948,,684,,80585,531,79554,
2006-12-01,96963,,668,,74357,296,73855,
2007-01-01,101297,,691,,70276,286,70502,
2007-02-01,90464,,593,,64012,319,66056,
2007-03-01,100591,,653,,76975,345,80657,
2007-04-01,96127,,639,,77583,515,79668,
2007-05-01,96668,,670,,81971,456,81891,
2007-06-01,94906,,608,,81119,340,85557,
2007-07-01,95373,,614,,78320,557,85066,
2007-08-01,96473,,625,,79626,813,84990,
2007-09-01,91228,,601,,59342,614,63798,
2007-10-01,94685,,635,,67474,725,72270,
2007-11-01,87929,,585,,65653,381,67111,
2007-12-01,82984,,533,,61627,358,66756,
2008-01-01,83781,,564,,54207,483,58483,
2008-02-01,77172,,519,,54297,423,58249,
2008-03-01,94089,,609,,68625,457,74578,
2008-04-01,97379,,607,,70129,397,73348,
2008-05-01,96864,,610,,73174,476,75971,
2008-06-01,96293,,600,,77971,379,84446,
2008-07-01,98483,,616,,79722,391,87045,
2008-08-01,95410,,618,,81713,438,86520,
2008-09-01,71493,,558,,59541,438,59056,
2008-10-01,72361,,572,,59380,529,58107,
2008-11-01,70801,,529,,53677,409,52746,
2008-12-01,70359,,518,,56973,343,56776,
2009-01-01,65087,,510,,45315,232,46568,
2009-02-01,66047,,494,,42868,349,44989,
2009-03-01,74486,,544,,51774,474,54379,
2009-04-01,67391,,512,,53069,617,52672,
2009-05-01,67833,,509,,54091,375,54136,
2009-06-01,77820,,531,,61950,207,64794,
2009-07-01,81415,,546,,68609,286,70982,
2009-08-01,84368,,565,,74387,411,75393,
2009-09-01,72664,,539,,58298,350,57737,
2009-10-01,72807,,547,,63351,283,61915,
