Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,107551,,547,,63869,928,81511,
2002-11-01,102761,,525,,62024,558,79038,
2002-12-01,115009,,568,,68528,286,89465,
2003-01-01,101524,,495,,68670,329,85956,
2003-02-01,99517,,474,,63420,252,79527,
2003-03-01,119001,,571,,81105,333,103412,
2003-04-01,114209,,561,,72891,908,94610,
2003-05-01,90148,,488,,60288,791,78323,
2003-06-01,92112,,489,,59820,608,79470,
2003-07-01,103024,,541,,64290,767,85501,
2003-08-01,103653,,546,,65807,972,86631,
2003-09-01,83124,,458,,43364,670,55304,
2003-10-01,87986,,493,,55931,908,70550,
2003-11-01,110656,,513,,64247,652,84345,
2003-12-01,113673,,534,,62850,375,86935,
2004-01-01,113969,,529,,71417,764,96184,
2004-02-01,109522,,514,,72747,656,97602,
2004-03-01,128552,,618,,87376,573,115368,
2004-04-01,121491,,592,,83676,58,110072,
2004-05-01,122283,,598,,82666,,110072,
2004-06-01,118009,,581,,78679,,105397,
2004-07-01,132902,,670,,86891,,111526,
2004-08-01,130660,,664,,87056,,108408,
2004-09-01,100370,,517,,54000,,67762,
2004-10-01,123762,,643,,84472,,104350,
2004-11-01,120166,,624,,81263,,98585,
2004-12-01,128085,,667,,81657,,101502,
2005-01-01,123987,,656,,89901,,109790,
2005-02-01,124255,,641,,89291,,110810,
2005-03-01,153582,,774,,103975,,130152,
2005-04-01,122442,887,638,1,89732,0,109662,221
2005-05-01,122766,,620,,90540,,112874,
2005-06-01,116733,,619,,83695,,103891,
2005-07-01,120608,,646,,84433,,103421,
2005-08-01,120818,,649,,83904,,101580,
2005-09-01,99479,,510,,65402,,82534,
2005-10-01,108112,,554,,74184,,93373,
2005-11-01,111921,,593,,75251,,92278,
2005-12-01,127070,,668,,80018,,101656,
2006-01-01,129725,,668,,92400,,115295,
2006-02-01,126114,,636,,86038,,108274,
2006-03-01,149555,,743,,103705,,132016,
2006-04-01,138165,,689,,98752,4,124493,
2006-05-01,138043,,695,,98484,0,125262,
2006-06-01,125015,,651,,88495,,111356,
2006-07-01,128996,,672,,88176,,110835,
2006-08-01,127856,,666,,80764,,100861,
2006-09-01,101989,,519,,62045,,78174,
2006-10-01,111976,,580,,75454,,93998,
2006-11-01,113088,,594,,76320,,93207,
2006-12-01,118259,,624,,78796,,98474,
2007-01-01,131097,,674,,92733,,115579,
2007-02-01,123061,,630,,86781,,108453,
2007-03-01,143897,,744,,104571,,129150,
2007-04-01,133157,,688,,100918,,123130,
2007-05-01,132715,,679,,96209,,119709,
2007-06-01,126283,,651,,89853,,114119,
2007-07-01,129048,821,663,1,87750,0,112551,770
2007-08-01,124301,,640,,86311,,108644,
2007-09-01,96056,,490,,60749,,75873,
2007-10-01,109828,,557,,73672,,93097,
2007-11-01,106491,,548,,72262,,90420,
2007-12-01,121544,,626,,72564,,93056,
2008-01-01,119501,,623,,83920,,104831,
2008-02-01,116840,,600,,80468,,101512,
2008-03-01,133799,182,685,1,92362,128,113632,169
2008-04-01,119908,,616,,83727,,102770,
2008-05-01,123552,,639,,85297,,105208,
2008-06-01,119457,,612,,83443,,105912,
2008-07-01,121130,,623,,81577,,103287,
2008-08-01,115501,,600,,81755,,100254,
2008-09-01,82506,,405,,50830,,64213,
2008-10-01,89196,,444,,62421,,77870,
2008-11-01,104737,,537,,69484,,85731,
2008-12-01,112645,,577,,74412,,95712,
2009-01-01,113252,,549,,74999,,95695,
2009-02-01,108320,,546,,69120,,86238,
2009-03-01,124859,,645,,86120,1,105477,
2009-04-01,109966,240,559,1,78361,51,97912,209
2009-05-01,108202,,553,,72862,126,92052,
2009-06-01,114272,,588,,80400,52,103060,
2009-07-01,119766,,620,,80921,82,104698,
2009-08-01,114552,,595,,79022,167,97979,
2009-09-01,86600,,426,,51719,175,63838,
2009-10-01,91487,,456,,63415,147,77682,
2009-11-01,94044,,481,,65401,190,79522,
2009-12-01,103099,,519,,67482,320,87006,
2010-01-01,103626,,503,,73682,327,91242,
2010-02-01,100658,,473,,66593,169,85076,
2010-03-01,124140,,597,,83296,327,105341,
2010-04-01,106362,,532,,75264,155,95309,
2010-05-01,104862,,541,,69851,139,88379,
2010-06-01,103418,,533,,70951,146,90372,
2010-07-01,106347,,545,,72104,147,91930,
2010-08-01,101552,,520,,71781,219,89949,
2010-09-01,78579,,407,,49751,218,61091,
2010-10-01,83707,,428,,59998,149,74359,
2010-11-01,91272,,472,,65005,76,79015,
2010-12-01,101528,,519,,67790,119,86733,
2011-01-01,103092,,510,,73395,118,90053,
2011-02-01,97251,,481,,70617,136,86967,
2011-03-01,114576,,579,,83047,206,102037,
2011-04-01,95465,,488,,66042,104,83904,
2011-05-01,94158,,483,,66387,217,85705,
2011-06-01,90029,,454,,60008,61,79452,
2011-07-01,100506,,486,,65767,62,89628,
2011-08-01,89745,,450,,60693,53,79027,
2011-09-01,62857,,318,,44629,,55521,
2011-10-01,70498,,360,,51640,,63641,
2011-11-01,67666,,343,,48760,11,61151,
2011-12-01,98579,181,478,1,62920,0,84557,171
2012-01-01,155500,,915,,129167,257,136705,
2012-02-01,164776,,955,,131616,146,142117,
2012-03-01,203732,492,1128,2,160485,107,176973,346
2012-04-01,203246,,1128,,167832,418,182063,
2012-05-01,174558,,968,,143315,429,156169,
2012-06-01,169569,240,962,1,135715,329,151036,215
2012-07-01,173053,,999,,138110,659,155627,
2012-08-01,162949,,936,,133033,773,147804,
2012-09-01,138451,,791,,107990,256,115788,
2012-10-01,161766,,900,,130451,140,142654,
2012-11-01,161674,,919,,131985,178,142612,
2012-12-01,176041,,1008,,134576,199,148885,
2013-01-01,170694,472,970,1,138145,201,152813,400
2013-02-01,165024,56,941,1,134440,89,146103,50
2013-03-01,192820,,1150,,158791,144,172357,
2013-04-01,182048,,1078,,152106,49,164707,
2013-05-01,168539,,967,,141338,41,155215,
2013-06-01,175748,,1020,,142384,7,162565,
2013-07-01,177082,,1041,,140574,,159908,
2013-08-01,162061,223,942,1,135495,0,150239,201
2013-09-01,131772,984,755,1,107143,197,115282,611
2013-10-01,172307,,969,,136769,180,148987,
2013-11-01,172798,,981,,139653,133,151915,
2013-12-01,191982,,1083,,147142,94,165904,
2014-01-01,176806,,974,,144627,52,162554,
2014-02-01,169033,,941,,140830,17,155511,
2014-03-01,212750,,1200,,174918,21,191551,
2014-04-01,187938,,1054,,149370,74,165315,
2014-05-01,182956,,1007,,151007,128,168641,
2014-06-01,198302,173,1048,1,150460,14,178236,165
2014-07-01,206768,,1101,,152663,34,181285,
2014-08-01,178818,,955,,140547,51,163253,
2014-09-01,145945,,801,,111767,35,123033,
2014-10-01,177727,,984,,139047,63,153769,
2014-11-01,174034,,961,,139392,55,152828,
2014-12-01,205776,,1095,,151896,16,175424,
2015-01-01,197774,,1030,,154087,42,174304,
2015-02-01,187485,,984,,147803,22,164373,
2015-03-01,219488,50,1165,1,172844,18,188974,50
2015-04-01,193589,,1057,,159721,18,172176,
2015-05-01,201087,,1054,,155921,26,175928,
2015-06-01,207593,,1052,,151726,76,179374,
2015-07-01,203823,,1030,,153979,4,182857,
2015-08-01,179301,,924,,142632,10,164096,
2015-09-01,146529,,792,,114098,8,125366,
