Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,33447,,609,,43471,171,20771,
2002-11-01,30695,,556,,36291,136,17158,
2002-12-01,29434,,530,,41200,89,20151,
2003-01-01,30021,,559,,38699,97,17719,
2003-02-01,29398,,537,,45974,189,21602,
2003-03-01,32204,,586,,49927,232,23745,
2003-04-01,25646,,464,,37751,113,18042,
2003-05-01,27439,1108,498,1,40184,149,19071,1072
2003-06-01,30714,1165,560,1,44471,243,21352,1064
2003-07-01,33551,,607,,48525,117,23560,
2003-08-01,33165,,598,,46397,161,22427,
2003-09-01,30924,,580,,37844,190,17947,
2003-10-01,32029,,604,,44493,157,20896,
2003-11-01,30775,,550,,41320,67,19318,
2003-12-01,29735,71,531,1,39594,88,19186,0
2004-01-01,31043,,562,,34008,65,16539,
2004-02-01,31496,,571,,35210,55,17290,
2004-03-01,33624,,615,,44613,68,21638,
2004-04-01,32217,,588,,38839,135,18254,
2004-05-01,31230,,575,,39957,129,18884,
2004-06-01,30902,,580,,46899,117,22362,
2004-07-01,31029,,582,,49691,146,23879,
2004-08-01,32073,,610,,52958,223,24763,
2004-09-01,28053,,532,,44732,196,20383,
2004-10-01,29394,,544,,43716,161,19923,
2004-11-01,27752,,514,,36315,48,16731,
2004-12-01,27091,,493,,38842,30,18340,
2005-01-01,25213,,439,,32837,,15301,
2005-02-01,24413,,428,,31841,,15010,
2005-03-01,26287,,463,,40251,,18498,
2005-04-01,24417,,458,,34594,,15687,
2005-05-01,24960,,469,,38090,,17405,
2005-06-01,24722,1505,461,1,46202,0,20448,1386
2005-07-01,25070,,460,,47486,,21340,
2005-08-01,25695,,477,,48446,,21882,
2005-09-01,24735,,469,,41261,,18849,
2005-10-01,25919,,487,,42370,1,19424,
2005-11-01,26383,,476,,41615,20,18403,
2005-12-01,26938,,486,,45074,12,20241,
2006-01-01,25026,,473,,44544,43,19780,
2006-02-01,24084,,439,,44122,65,19996,
2006-03-01,27194,,488,,51392,87,23638,
2006-04-01,25217,,468,,41022,2,19361,
2006-05-01,27775,,479,,49222,,22534,
2006-06-01,27033,,479,,51320,57,24025,
2006-07-01,27085,,481,,47931,45,23185,
2006-08-01,28124,,497,,48557,151,23522,
2006-09-01,25146,,459,,45359,54,20941,
2006-10-01,26178,,485,,47527,55,21724,
2006-11-01,24712,,467,,41658,,18972,
2006-12-01,23836,,444,,40440,,18325,
2007-01-01,27867,,506,,47192,,21206,
2007-02-01,23405,,418,,42392,32,19455,
2007-03-01,26704,,485,,50303,68,23067,
2007-04-01,26690,,477,,46056,28,20826,
2007-05-01,29808,81,512,1,53113,12,24020,0
2007-06-01,25302,,462,,49342,9,22117,
2007-07-01,27149,,488,,50733,37,23582,
2007-08-01,27483,,492,,50942,14,23737,
2007-09-01,25497,,445,,43549,28,19360,
2007-10-01,26821,,471,,46229,0,20720,
2007-11-01,23780,,450,,39616,,17791,
2007-12-01,22988,,414,,36612,,16865,
2008-01-01,24799,126,432,1,40220,0,17973,67
2008-02-01,22341,,398,,39787,,17986,
2008-03-01,23596,2149,432,2,44361,0,20134,1930
2008-04-01,23456,,439,,41569,,18365,
2008-05-01,23760,,438,,43866,,19525,
2008-06-01,23808,,433,,45355,,20618,
2008-07-01,24448,,439,,44871,,20656,
2008-08-01,24327,,440,,42439,,19616,
2008-09-01,24329,,434,,38670,,17942,
2008-10-01,25023,,447,,41326,,19368,
2008-11-01,22525,,413,,32051,,15068,
2008-12-01,22495,,405,,34307,,16495,
2009-01-01,24235,,417,,32643,,15622,
2009-02-01,22883,,395,,31571,,15049,
2009-03-01,26169,,452,,42557,,19344,
2009-04-01,25773,,428,,37026,,16821,
2009-05-01,25560,,427,,37541,,17092,
2009-06-01,30180,,455,,42744,,22031,
2009-07-01,30858,,461,,46256,,24614,
2009-08-01,31483,,463,,45350,,24115,
2009-09-01,32734,,460,,42260,,21835,
2009-10-01,30929,,444,,46379,,23678,
2009-11-01,22742,,338,,30428,,15066,
