Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,1510047,573465,11732,675,1076007,106243,1071338,432226
2002-11-01,1376289,543751,10401,653,948196,93353,953696,382371
2002-12-01,1431068,553051,10744,668,1081562,103521,1103849,430894
2003-01-01,1361921,549237,10494,681,905196,91960,931486,378222
2003-02-01,1220918,493439,9230,612,875557,77913,894857,315357
2003-03-01,1381537,546665,10259,682,1052664,94447,1077639,380107
2003-04-01,1251310,361916,9425,514,972259,59880,984705,210163
2003-05-01,1298638,314045,9687,555,1023310,72382,1043816,253770
2003-06-01,1365341,415770,9954,659,1095118,100286,1132498,360412
2003-07-01,1460633,450041,10399,765,1141172,107404,1194530,371058
2003-08-01,1428811,503459,10320,802,1084738,115108,1129839,422645
2003-09-01,1325702,539426,9680,732,930151,109807,954937,452146
2003-10-01,1393705,548136,10262,745,1037454,108146,1064028,444742
2003-11-01,1324570,528023,9837,683,940159,101171,947923,425759
2003-12-01,1365968,550446,10183,728,990541,114856,1029700,472438
2004-01-01,1310130,554088,9686,741,811566,99808,851304,409876
2004-02-01,1274695,517702,9351,706,856848,94234,896899,381130
2004-03-01,1397906,552369,10125,753,1043504,114899,1082944,468017
2004-04-01,1343253,533010,9843,731,1020211,104696,1060008,423928
2004-05-01,1371595,545109,9886,743,1033497,117404,1066099,479759
2004-06-01,1447070,569482,10151,797,1159034,129854,1233626,522187
2004-07-01,1501827,606242,10470,843,1186478,123326,1275844,483787
2004-08-01,1540220,606125,10870,839,1194737,124410,1268031,494315
2004-09-01,1389024,582568,9689,787,1012681,119586,1065399,481648
2004-10-01,1432560,601024,10082,809,1070002,116447,1111845,477234
2004-11-01,1275531,653901,9295,800,938462,107731,969157,481902
2004-12-01,1338320,691052,9293,861,956044,126037,1037425,560274
2005-01-01,1257381,693076,8388,900,822461,118787,924651,502856
2005-02-01,1156111,636914,7737,838,781758,108272,882422,453713
2005-03-01,1279685,709376,8325,932,961587,139181,1083146,588895
2005-04-01,1220439,689846,8096,920,890540,124917,978152,520844
2005-05-01,1253300,730306,8190,918,940943,144312,1041907,622083
2005-06-01,1261731,716661,8002,874,983878,151123,1118684,646052
2005-07-01,1297531,747103,8133,899,989003,139132,1140324,594847
2005-08-01,1293232,740868,8208,891,954464,138570,1084048,589694
2005-09-01,1252755,711649,7961,854,887083,133870,994142,581514
2005-10-01,1296436,731605,8269,886,946302,133416,1058121,597118
2005-11-01,1242707,661577,8086,796,907535,115905,985371,509018
2005-12-01,1282632,704610,8084,869,909048,131552,1025119,580036
2006-01-01,1236073,710607,7802,897,839840,121988,963930,521893
2006-02-01,1143733,640057,7111,802,794090,109069,913031,470962
2006-03-01,1289540,715322,7953,890,966050,140154,1097391,604151
2006-04-01,1238835,726109,7785,880,921389,128040,1031070,545972
2006-05-01,1252599,743503,7885,898,942277,149421,1048977,651822
2006-06-01,1256378,732284,7760,914,985463,156128,1097470,678177
2006-07-01,1287488,763984,7896,990,999921,151143,1140461,633532
2006-08-01,1301639,762001,8102,1001,951806,144792,1068631,597649
2006-09-01,1200205,720460,7608,893,854865,134363,937723,571675
2006-10-01,1254478,734349,8041,886,946512,133436,1030084,586242
2006-11-01,1161153,709678,7791,857,869450,125482,925445,543096
2006-12-01,1180466,735826,7699,915,845773,139529,927537,588256
2007-01-01,1187417,729210,7657,935,807261,128899,897788,537502
2007-02-01,1050725,652638,6504,841,733410,112014,825708,457308
2007-03-01,1233302,731200,7692,975,944443,154940,1058615,634050
2007-04-01,1180753,686686,7515,901,910290,127931,999372,517233
2007-05-01,1215807,699172,8072,873,983523,145188,1048730,613174
2007-06-01,1207867,702235,7858,914,1006665,156420,1092157,636462
2007-07-01,1247101,721918,8116,955,1009148,146214,1108534,582838
2007-08-01,1247725,725110,8164,956,980649,144313,1066255,573420
2007-09-01,1120899,691022,7693,870,844158,132188,878706,545703
2007-10-01,1168655,694721,8078,890,928971,130681,962833,547495
2007-11-01,1097336,613582,7432,807,833930,116352,873898,480468
2007-12-01,1069151,661989,6948,867,750744,129506,820797,532943
2008-01-01,1026923,672406,6990,888,698537,118755,754837,486989
2008-02-01,978450,636050,6520,825,694133,109538,748258,427849
2008-03-01,1121214,693429,7408,930,874276,143449,946588,568511
2008-04-01,1101898,652668,7561,911,883668,124850,918347,481112
2008-05-01,1135340,661842,7758,873,921110,141216,964080,577096
2008-06-01,1126886,656293,7588,879,933049,141307,996370,566788
2008-07-01,1156552,673931,7761,917,940701,135027,1019616,522889
2008-08-01,1139819,668947,7668,931,921687,132096,986663,502804
2008-09-01,1002856,582976,7108,770,795479,113766,810177,465964
2008-10-01,1022577,599395,7367,797,854807,114041,865353,483298
2008-11-01,915397,561671,6199,717,680669,99960,719803,417257
2008-12-01,922005,580101,6162,781,702034,119352,753655,481061
2009-01-01,874521,571838,5894,783,604496,106293,661620,409892
2009-02-01,850738,499583,5672,718,593467,95287,650532,359860
2009-03-01,1010388,593955,6558,833,773345,120723,833231,461747
2009-04-01,957540,584201,6138,824,733223,111283,800369,427224
2009-05-01,962028,588170,6184,763,749138,118588,813434,493183
2009-06-01,973192,585358,6160,757,789711,125610,861398,528021
2009-07-01,1004665,604444,6278,790,817745,124767,901372,499820
2009-08-01,1011546,605377,6372,803,794423,125923,867422,490869
2009-09-01,905629,568909,6026,722,687682,111557,729338,455491
2009-10-01,938995,576686,6136,708,750080,112663,802993,479695
2009-11-01,845789,532460,5332,642,630606,97590,687223,429065
2009-12-01,884437,557043,5314,682,632532,113620,720635,488819
2010-01-01,824574,576067,4896,710,549060,105168,641623,453460
2010-02-01,755733,516223,4427,654,529437,98162,623794,407095
2010-03-01,892394,583576,5264,748,674146,120300,771081,497770
2010-04-01,890978,527791,5293,637,654417,93680,732148,406840
2010-05-01,920049,642410,5445,714,702116,125349,784933,556148
2010-06-01,950520,627134,5522,721,739561,127312,844010,562221
2010-07-01,997219,662251,5742,764,763615,126326,896666,544265
2010-08-01,987172,654890,5812,748,750393,124062,863339,543264
2010-09-01,875053,604337,5355,681,659185,114897,735833,522943
2010-10-01,914544,592122,5526,671,709109,108834,797753,497686
2010-11-01,846261,580776,5175,678,627542,101645,701699,459919
2010-12-01,814676,595207,4896,731,583398,116861,671455,506246
2011-01-01,777926,622450,4534,783,516030,112389,618656,480901
2011-02-01,686120,544766,4003,683,468793,92281,556951,383180
2011-03-01,853406,639687,5013,821,621987,124599,725760,497299
2011-04-01,791545,629731,4610,805,571291,115511,659720,469142
2011-05-01,802838,628995,4760,735,607822,125048,699432,549581
2011-06-01,849319,627083,5001,716,651126,131175,753189,565281
2011-07-01,874455,665589,5148,765,669632,129630,782628,548380
2011-08-01,879576,659028,5187,751,659097,127380,768268,551846
2011-09-01,779487,611954,4676,701,590832,117518,678683,508307
2011-10-01,798558,612344,4765,717,617741,113952,706653,502588
2011-11-01,699014,542045,4274,628,536973,94954,610617,426228
2011-12-01,727292,568821,4207,704,525473,114244,635988,483639
2012-01-01,793365,575744,4754,711,543621,99227,635184,419559
2012-02-01,797683,573822,4763,696,557033,89439,653571,376510
2012-03-01,943736,632188,5504,817,688022,124791,801425,504995
2012-04-01,860573,577688,4897,711,610063,107900,718022,455557
2012-05-01,881059,628618,5139,738,659223,129298,765752,557520
2012-06-01,906311,625845,5333,752,695200,135575,805765,559691
2012-07-01,906610,627314,5420,773,699868,128133,806415,524255
2012-08-01,912645,618278,5553,760,698765,124649,801426,522603
2012-09-01,832055,572723,5206,667,624320,108533,702505,470955
2012-10-01,851160,600682,5165,685,654691,110853,743446,496684
2012-11-01,777613,530466,4762,608,590846,97930,663579,432764
2012-12-01,764096,531369,4477,647,548194,106479,639431,447377
2013-01-01,747408,573974,4466,698,517514,101915,605091,426763
2013-02-01,703615,487060,4176,617,502523,85848,581167,354431
2013-03-01,831459,590372,4850,795,620411,123868,719427,487240
2013-04-01,779974,554852,4569,740,553272,107808,641102,433506
2013-05-01,853724,576361,5010,750,630559,122632,727168,510008
2013-06-01,865713,589257,4845,776,634347,132481,758315,532297
2013-07-01,875580,614581,4945,808,627809,133665,764860,527000
2013-08-01,889216,608712,5053,783,637292,131507,767415,525547
2013-09-01,835393,569312,4913,678,610178,114161,705505,475765
2013-10-01,905614,567919,5358,687,671553,106910,778902,453347
2013-11-01,839310,516282,4865,617,604136,92471,701063,381532
2013-12-01,811187,516608,4562,646,600148,109973,719203,442374
2014-01-01,687749,518010,3956,657,468711,93135,557129,375309
2014-02-01,670080,504752,3936,639,488618,90450,570038,356085
2014-03-01,823312,624925,4682,865,610057,132510,719314,488439
2014-04-01,777338,612463,4445,771,572327,118169,674345,456189
2014-05-01,849792,676305,4985,818,653905,147466,745793,598128
2014-06-01,875921,706183,4984,928,662707,164061,772631,623229
2014-07-01,903893,731266,5046,946,667265,160082,801328,599018
2014-08-01,886836,718903,5078,897,661954,150633,776626,581620
2014-09-01,832234,636963,4977,717,625801,123381,706434,500421
2014-10-01,921015,639271,5436,717,694493,117762,785256,483271
2014-11-01,818956,570334,4803,691,602579,106796,683831,414671
2014-12-01,810613,583842,4509,702,597148,123628,716893,496451
2015-01-01,738480,606704,4278,725,514473,108208,611425,432907
2015-02-01,675901,500187,3991,629,502340,93347,580888,355753
2015-03-01,958750,652991,5689,888,742267,146403,835568,532152
2015-04-01,861412,657518,5222,871,658834,131109,728354,476742
2015-05-01,928188,690884,5768,768,756433,143211,820226,606261
2015-06-01,957923,737227,5613,859,760170,161027,849699,646463
2015-07-01,1012637,789903,5895,952,809074,166630,915737,633686
2015-08-01,987369,770763,5893,872,803486,154395,891949,612918
2015-09-01,903213,659671,5615,686,760001,123301,813753,509291
2015-10-01,995846,633802,6186,689,849504,120141,904762,497517
2015-11-01,926305,552614,5552,667,742961,103672,816987,393842
2015-12-01,906167,574455,5141,748,691463,128203,806480,484424
2016-01-01,794182,623582,4617,840,591835,120716,684386,447398
2016-02-01,769428,548710,4594,766,579695,107535,648018,374739
2016-03-01,946221,641430,5144,937,719062,148242,837395,499167
2016-04-01,933338,615895,5382,780,717945,120652,796082,450915
2016-05-01,1000904,679963,6032,823,832334,145391,891746,576553
2016-06-01,1031037,709101,5979,878,857203,163138,934925,639195
2016-07-01,1124259,761268,6250,956,896819,163384,1003732,615717
2016-08-01,1148783,734036,6695,882,941514,146613,1015714,577476
2016-09-01,1097535,646587,6714,730,939242,128462,969379,508899
2016-10-01,1124390,632937,6989,712,986143,121707,1005181,491111
2016-11-01,1017747,546955,6339,688,874129,108434,894007,403934
2016-12-01,999377,584783,5532,797,766857,133767,865276,495428
2017-01-01,878131,,5021,,669462,,743735,
2017-02-01,802565,,4675,,628000,,690522,
2017-03-01,1021005,,5659,,813844,,908145,
