Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,123313,,786,,78817,,88896,
2002-11-01,104664,,684,,70866,,77576,
2002-12-01,109946,,714,,83552,,91515,
2003-01-01,106523,,714,,67960,,72712,
2003-02-01,95915,,640,,62307,,66627,
2003-03-01,107192,,704,,74942,,83752,
2003-04-01,103719,,690,,69780,,79672,
2003-05-01,109691,,713,,79529,,91574,
2003-06-01,123968,,786,,94501,,108627,
2003-07-01,138376,,867,,102082,,118169,
2003-08-01,134486,,838,,97957,,113751,
2003-09-01,121175,,770,,83080,,97108,
2003-10-01,124609,,792,,84391,,97263,
2003-11-01,99515,,679,,73372,,81318,
2003-12-01,114429,,767,,87865,,97184,
2004-01-01,100908,,680,,62525,,70070,
2004-02-01,99907,,663,,66603,,74330,
2004-03-01,113606,,783,,81027,,90113,
2004-04-01,108256,,736,,78274,92,89377,
2004-05-01,123221,,749,,86371,18,101464,
2004-06-01,125779,,765,,99870,144,114598,
2004-07-01,134451,,845,,102291,246,116809,
2004-08-01,139899,,852,,110596,290,126204,
2004-09-01,126705,,753,,90020,444,105306,
2004-10-01,123660,,740,,84671,233,97555,
2004-11-01,104622,,683,,78279,207,85482,
2004-12-01,114067,,713,,88956,204,99476,
2005-01-01,96639,,617,,72206,131,80612,
2005-02-01,85384,30,537,1,59716,332,67389,27
2005-03-01,94447,,586,,66429,259,77692,
2005-04-01,87505,,550,,65973,232,76982,
2005-05-01,105554,,682,,77952,238,89519,
2005-06-01,109031,,685,,87800,299,100072,
2005-07-01,112829,,702,,85952,390,98638,
2005-08-01,112697,,708,,89619,369,101592,
2005-09-01,107659,,648,,75814,524,88966,
2005-10-01,109204,,668,,75202,305,86687,
2005-11-01,103652,,625,,72842,189,82315,
2005-12-01,113870,,666,,82203,212,94530,
2006-01-01,106679,,662,,69979,226,80243,
2006-02-01,91099,,557,,61946,177,70100,
2006-03-01,102529,,606,,77599,352,89160,
2006-04-01,97367,,592,,69381,182,80606,
2006-05-01,103651,,659,,78059,176,88038,
2006-06-01,121762,,739,,91634,199,107778,
2006-07-01,132319,,790,,96428,262,114415,
2006-08-01,133246,,798,,98061,331,116637,
2006-09-01,114264,,704,,80123,330,93498,
2006-10-01,115463,,721,,79929,176,91775,
2006-11-01,97758,,664,,71865,170,79181,
2006-12-01,101194,,679,,77175,161,85689,
2007-01-01,105447,,710,,68965,153,78019,
2007-02-01,91578,,630,,65003,102,70258,
2007-03-01,103083,,719,,85208,176,89775,
2007-04-01,102226,,692,,79206,204,87037,
2007-05-01,109717,,703,,84627,252,95250,
2007-06-01,109888,,686,,86597,183,99798,
2007-07-01,111819,,699,,86253,250,100064,
2007-08-01,115463,,725,,92185,426,106396,
2007-09-01,98247,,655,,74349,333,84046,
2007-10-01,100299,,674,,74505,193,83034,
2007-11-01,98695,,642,,70633,258,79969,
2007-12-01,103813,,670,,73606,175,83282,
2008-01-01,83848,,523,,53373,168,62448,
2008-02-01,76192,,498,,52379,118,60203,
2008-03-01,88492,,579,,67436,229,77379,
2008-04-01,84354,,529,,60591,171,73146,
2008-05-01,86881,,543,,62043,175,75059,
2008-06-01,97272,,576,,73317,90,88135,
2008-07-01,103173,,627,,76165,118,90106,
2008-08-01,101883,,617,,78396,108,90914,
2008-09-01,81424,,486,,62116,105,71100,
2008-10-01,86952,,498,,64541,139,74900,
2008-11-01,76117,,444,,53801,87,63126,
2008-12-01,78342,,445,,56208,102,67132,
2009-01-01,73236,,384,,44626,139,57916,
2009-02-01,65559,,350,,38873,101,50006,
