Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,104239,,671,,52785,94,69410,
2002-11-01,91851,,579,,46596,62,61715,
2002-12-01,98626,,593,,51889,38,72015,
2003-01-01,100288,,597,,45049,3,61259,
2003-02-01,83047,,496,,38815,,51680,
2003-03-01,95442,,560,,47673,,63386,
2003-04-01,91065,,535,,47929,,65465,
2003-05-01,96782,,590,,54489,57,72905,
2003-06-01,105109,,638,,58448,24,80155,
2003-07-01,114623,,667,,63233,,90608,
2003-08-01,115170,,676,,63812,,90752,
2003-09-01,103710,,626,,49784,,67007,
2003-10-01,108085,,651,,55198,0,74337,
2003-11-01,110790,,630,,51625,32,70337,
2003-12-01,115128,,620,,53217,23,78559,
2004-01-01,109551,,590,,44410,1,66649,
2004-02-01,102997,,578,,46247,,67203,
2004-03-01,108818,,638,,53268,,74962,
2004-04-01,107970,,665,,56787,361,78551,
2004-05-01,108392,,675,,60355,254,82773,
2004-06-01,105062,,649,,61419,174,83022,
2004-07-01,109745,,661,,64811,170,89462,
2004-08-01,110473,,667,,62286,170,87002,
2004-09-01,104373,,641,,51232,205,70727,
2004-10-01,103473,,618,,54822,220,78164,
2004-11-01,100301,,591,,52282,260,72976,
2004-12-01,103598,,588,,54286,198,77927,
2005-01-01,84338,,485,,47143,296,65143,
2005-02-01,75701,,447,,42511,254,56959,
2005-03-01,84529,,502,,53231,372,69230,
2005-04-01,83750,,515,,53944,254,69429,
2005-05-01,95830,,559,,60204,475,82621,
2005-06-01,91909,,539,,60642,201,82877,
2005-07-01,91301,,537,,59510,228,82297,
2005-08-01,93927,,559,,59726,266,80341,
2005-09-01,96107,,526,,54938,424,75609,
2005-10-01,99746,,533,,59019,428,82434,
2005-11-01,94987,,538,,55634,336,75018,
2005-12-01,97397,,535,,56618,272,78981,
2006-01-01,89509,,508,,51684,232,71092,
2006-02-01,82301,,460,,47544,191,66918,
2006-03-01,94425,,524,,56213,243,79024,
2006-04-01,92404,,512,,57296,239,79347,
2006-05-01,95260,,540,,59856,329,82453,
2006-06-01,91908,,520,,60797,377,83941,
2006-07-01,93178,,527,,58693,444,83690,
2006-08-01,96251,,545,,58861,477,82530,
2006-09-01,94446,,514,,54270,321,74740,
2006-10-01,98524,,536,,58503,279,81212,
2006-11-01,93606,,509,,53283,471,74646,
2006-12-01,95656,,504,,50793,342,71962,
2007-01-01,89253,,489,,46963,374,67047,
2007-02-01,76699,,426,,44382,302,61068,
2007-03-01,88443,,489,,53406,450,73524,
2007-04-01,86927,,487,,56829,253,76655,
2007-05-01,87866,,508,,58935,284,78352,
2007-06-01,84634,,461,,60324,194,79068,
2007-07-01,85156,,473,,58009,252,77550,
2007-08-01,85937,,480,,58661,240,78108,
2007-09-01,83417,,458,,49422,282,66944,
2007-10-01,88189,,479,,55845,231,74222,
2007-11-01,83835,,457,,50332,175,67727,
2007-12-01,76389,,439,,45110,100,61428,
2008-01-01,76316,,439,,41041,225,56625,
2008-02-01,74031,,411,,39943,205,54547,
2008-03-01,81642,,463,,50170,267,66600,
2008-04-01,77118,,469,,48062,139,61243,
2008-05-01,78554,,477,,49410,218,65069,
2008-06-01,80362,,443,,53472,186,72268,
2008-07-01,77252,,441,,51161,206,69855,
2008-08-01,81169,,457,,53732,225,72280,
2008-09-01,74935,,409,,45731,122,59108,
2008-10-01,77393,,424,,48521,52,61745,
2008-11-01,64600,,376,,39813,117,48951,
2008-12-01,67084,,382,,43003,82,54831,
2009-01-01,68857,,364,,38789,242,51580,
2009-02-01,67563,,371,,35596,114,47743,
2009-03-01,77465,,439,,43487,156,57293,
2009-04-01,68245,,397,,44423,110,56109,
2009-05-01,67431,,396,,42707,88,52992,
2009-06-01,73701,,402,,46890,92,62556,
2009-07-01,75529,,413,,48655,100,66696,
2009-08-01,78360,,427,,48181,87,65744,
2009-09-01,66259,,374,,38533,233,50619,
2009-10-01,67053,,371,,40590,183,52681,
2009-11-01,59626,,320,,35508,171,46247,
2009-12-01,58662,,315,,34050,167,45875,
2010-01-01,57773,,299,,27804,121,37961,
2010-02-01,48445,,239,,24408,93,34960,
2010-03-01,66042,,307,,34501,137,52596,
2010-04-01,64047,,296,,32812,123,48309,
2010-05-01,64938,,305,,35708,170,52735,
2010-06-01,68488,,337,,41796,163,60351,
2010-07-01,71952,,357,,43810,225,63578,
2010-08-01,72346,,364,,43760,226,63136,
2010-09-01,63135,,337,,33927,264,47824,
2010-10-01,64576,,346,,36498,203,51162,
2010-11-01,54617,,293,,32606,15,43511,
2010-12-01,51806,,267,,30412,12,42590,
2011-01-01,46579,,241,,25239,55,36535,
2011-02-01,43819,,224,,24038,87,34338,
2011-03-01,55771,,274,,30981,69,43376,
2011-04-01,48264,,248,,29757,65,42755,
2011-05-01,49945,,254,,30080,108,43979,
2011-06-01,54717,,275,,34934,65,48470,
2011-07-01,57487,,289,,37717,127,53050,
2011-08-01,54530,,281,,36882,127,50119,
2011-09-01,47760,,274,,31967,88,40435,
2011-10-01,47751,,279,,32242,58,40467,
2011-11-01,41432,,244,,28374,5,35835,
2011-12-01,41951,,217,,23790,47,35048,
2012-01-01,66592,,349,,39453,4,53243,
2012-02-01,65023,,339,,37553,69,50937,
2012-03-01,68788,,371,,40625,25,55057,
2012-04-01,93759,,426,,49689,146,75373,
2012-05-01,100937,,442,,50724,161,78795,
2012-06-01,101554,,449,,55163,34,83897,
2012-07-01,95934,,449,,56353,105,84979,
2012-08-01,101622,,462,,59308,122,89407,
2012-09-01,82905,,382,,42773,15,65600,
2012-10-01,78565,,372,,43573,1,65212,
2012-11-01,73620,,353,,41155,10,60165,
2012-12-01,69706,,339,,39505,41,59839,
2013-01-01,71267,,357,,39035,124,57417,
2013-02-01,64311,,319,,35334,78,53018,
2013-03-01,75259,,367,,43459,60,65331,
2013-04-01,68844,,348,,38599,19,56797,
2013-05-01,73266,,364,,44193,68,64998,
2013-06-01,69738,,358,,44281,48,63183,
2013-07-01,70876,,360,,45122,106,64457,
2013-08-01,73918,,358,,47222,19,67906,
2013-09-01,66847,,324,,40801,36,58907,
2013-10-01,67369,,334,,42244,22,60710,
2013-11-01,62529,,310,,38117,14,52321,
2013-12-01,59259,,297,,38420,4,54525,
2014-01-01,54945,,267,,32180,60,47633,
2014-02-01,48127,,241,,28498,15,40894,
2014-03-01,62199,,299,,35149,0,51869,
2014-04-01,67236,,322,,39838,9,56912,
2014-05-01,75709,,349,,46663,30,65678,
2014-06-01,72787,,355,,46428,89,64956,
2014-07-01,75157,,368,,48713,26,68695,
2014-08-01,76091,,356,,48663,35,68986,
2014-09-01,72965,,332,,41010,26,56896,
2014-10-01,78011,,380,,48198,8,64755,
2014-11-01,66142,,326,,39995,34,52821,
2014-12-01,64809,,310,,41162,35,55916,
2015-01-01,55617,,265,,31720,20,42107,
2015-02-01,50925,,257,,29842,23,39704,
2015-03-01,63193,,324,,40360,18,53714,
2015-04-01,61446,,332,,41629,28,53866,
2015-05-01,66860,,353,,45894,33,59569,
2015-06-01,73817,,376,,50755,15,65984,
2015-07-01,75812,,362,,52537,32,69305,
2015-08-01,73894,,369,,52626,74,67963,
2015-09-01,68444,,351,,45285,21,57113,
2015-10-01,74139,,384,,52423,44,66151,
2015-11-01,69098,,344,,46907,98,61226,
2015-12-01,67437,,339,,44571,106,59295,
2016-01-01,54780,,266,,32882,120,45931,
2016-02-01,60368,,296,,34091,184,46777,
2016-03-01,68858,,314,,39926,179,56515,
2016-04-01,66861,,333,,41832,138,54024,
2016-05-01,68522,,338,,46169,142,61448,
2016-06-01,65660,,331,,45819,93,59128,
2016-07-01,67211,,361,,49397,129,62195,
2016-08-01,69988,,375,,50948,147,63723,
2016-09-01,67465,,358,,48384,171,59267,
2016-10-01,66208,,362,,47971,67,59305,
2016-11-01,67035,,341,,45402,34,58157,
2016-12-01,67378,,320,,42798,41,58350,
2017-01-01,53299,,271,,32127,,42466,
2017-02-01,46489,,244,,26263,,34907,
2017-03-01,63550,,317,,37201,,50245,
