Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,77581,,637,,56105,,56818,
2002-11-01,75443,,567,,56364,,58147,
2002-12-01,78696,,609,,60758,,61521,
2003-01-01,78479,,623,,59389,,58909,
2003-02-01,69680,,541,,57676,,56714,
2003-03-01,79362,,607,,72915,,70994,
2003-04-01,69484,,544,,60220,,60252,
2003-05-01,60653,,504,,53528,,52316,
2003-06-01,54454,,481,,46371,,45674,
2003-07-01,55726,,501,,46364,,45785,
2003-08-01,56035,,502,,41917,,41671,
2003-09-01,54898,,473,,40828,31,40871,
2003-10-01,61994,,534,,50083,1,48863,
2003-11-01,74074,,555,,56226,308,56407,
2003-12-01,72877,,574,,55341,162,54818,
2004-01-01,77446,,584,,56144,131,56366,
2004-02-01,80460,,577,,62750,67,63323,
2004-03-01,92735,,633,,79965,110,80677,
2004-04-01,83671,,574,,77813,44,76560,
2004-05-01,78223,,584,,73898,7,70413,
2004-06-01,74057,,542,,69184,,67680,
2004-07-01,74808,,542,,66852,,64971,
2004-08-01,79763,,550,,64068,,64041,
2004-09-01,77635,,541,,61378,,61822,
2004-10-01,80637,,556,,66517,,66530,
2004-11-01,79796,,563,,65318,,64479,
2004-12-01,83935,,595,,66949,,65838,
2005-01-01,85174,,611,,65894,,64726,
2005-02-01,77992,,559,,65134,,63720,
2005-03-01,86324,,617,,79502,,77047,
2005-04-01,80729,,565,,70573,,70774,
2005-05-01,83661,,588,,73945,,73822,
2005-06-01,76651,,550,,72390,,70340,
2005-07-01,77379,,553,,69704,,68160,
2005-08-01,76912,,552,,60596,,61881,
2005-09-01,74860,,564,,58720,,57342,
2005-10-01,80484,,622,,68964,,64353,
2005-11-01,78952,,618,,69443,,62358,
2005-12-01,85202,,659,,71960,,65727,
2006-01-01,85158,,667,,70169,,64863,
2006-02-01,89381,,677,,73506,,69024,
2006-03-01,104868,,767,,94450,,90044,
2006-04-01,88315,,645,,79602,93,75993,
2006-05-01,84853,,642,,77314,186,72089,
2006-06-01,81240,,604,,74909,157,70048,
2006-07-01,83305,,622,,76275,207,72065,
2006-08-01,82444,,614,,68284,171,65183,
2006-09-01,83338,,613,,61512,252,59602,
2006-10-01,89299,,654,,74151,183,71355,
2006-11-01,78916,,580,,66733,224,61394,
2006-12-01,76800,,546,,62104,74,58784,
2007-01-01,73799,,531,,62891,100,58597,
2007-02-01,68615,,504,,62876,112,56876,
2007-03-01,83365,,616,,80429,227,72656,
2007-04-01,75249,,555,,72452,243,66017,
2007-05-01,74039,,554,,70359,287,62557,
2007-06-01,71743,,503,,64638,199,62486,
2007-07-01,73743,,510,,58307,241,57789,
2007-08-01,73951,,513,,57115,269,57802,
2007-09-01,70629,,489,,51702,257,50865,
2007-10-01,75056,,518,,61897,232,60080,
2007-11-01,73577,,523,,62733,128,58997,
2007-12-01,73606,,513,,56701,104,54843,
2008-01-01,60426,275,439,1,49999,108,46372,247
2008-02-01,66087,,459,,53417,110,49820,
2008-03-01,76744,,519,,69759,108,67412,
2008-04-01,66713,,473,,60932,142,57786,
2008-05-01,67029,,485,,62222,124,57803,
2008-06-01,60376,,422,,52925,104,51068,
2008-07-01,57134,,406,,46821,109,44117,
2008-08-01,56040,,396,,49400,91,46265,
2008-09-01,62486,,440,,47704,172,46742,
2008-10-01,64787,,456,,58131,132,55451,
2008-11-01,56475,,409,,49693,90,46479,
2008-12-01,56392,,407,,46806,92,44114,
2009-01-01,57930,,416,,47404,108,44711,
2009-02-01,56516,,401,,45920,79,43526,
2009-03-01,67785,,458,,61576,115,59964,
2009-04-01,62584,,435,,56718,54,54787,
2009-05-01,60493,,433,,52220,120,50155,
2009-06-01,53971,,384,,45312,128,45705,
2009-07-01,57449,,409,,46635,140,46623,
2009-08-01,58102,,404,,43624,273,44459,
2009-09-01,50129,,351,,36926,137,36837,
2009-10-01,57199,,389,,44618,129,45229,
2009-11-01,62470,,413,,50596,134,48749,
2009-12-01,65504,,436,,48371,76,47230,
2010-01-01,64138,,427,,49206,141,47778,
2010-02-01,60244,,417,,51211,62,47773,
