Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,126388,,807,,73708,592,83028,
2002-11-01,100160,,648,,68043,351,74065,
2002-12-01,103281,,677,,74699,270,82117,
2003-01-01,102953,,682,,64632,316,72088,
2003-02-01,89632,,605,,60874,487,67637,
2003-03-01,97980,,661,,69368,265,78879,
2003-04-01,102394,,652,,73668,59,83384,
2003-05-01,103522,,653,,70185,9,80444,
2003-06-01,104519,,657,,74761,153,86091,
2003-07-01,111575,,693,,83233,268,93633,
2003-08-01,110845,,688,,82104,339,91963,
2003-09-01,97607,,619,,66424,207,73996,
2003-10-01,99568,,633,,70415,365,79715,
2003-11-01,95881,200,620,1,68106,460,75567,179
2003-12-01,103545,,646,,74652,365,84253,
2004-01-01,103597,,648,,68544,280,76862,
2004-02-01,95095,,605,,66353,451,74799,
2004-03-01,108583,,724,,77497,681,86593,
2004-04-01,105863,,660,,80181,384,90427,
2004-05-01,112747,,680,,80070,439,90955,
2004-06-01,119311,,734,,84596,697,97392,
2004-07-01,120523,,760,,89242,568,101004,
2004-08-01,122631,,772,,92039,589,104474,
2004-09-01,114497,,686,,74672,662,85246,
2004-10-01,114730,,689,,79867,353,90528,
2004-11-01,104280,,667,,71898,647,78282,
2004-12-01,108636,,675,,77716,741,85908,
2005-01-01,111270,,691,,73198,530,82537,
2005-02-01,93542,,613,,64179,421,70303,
2005-03-01,97282,,671,,79120,851,86516,
2005-04-01,102121,,643,,77141,716,89909,
2005-05-01,108067,,668,,78191,689,89106,
2005-06-01,114849,,697,,85536,652,100982,
2005-07-01,119232,,727,,86646,676,102189,
2005-08-01,122895,,734,,90186,627,105829,
2005-09-01,109640,,668,,73698,617,87051,
2005-10-01,112546,,691,,79979,528,93646,
2005-11-01,102184,,664,,75595,588,84071,
2005-12-01,108590,,692,,76167,593,85808,
2006-01-01,112782,,694,,72498,825,86812,
2006-02-01,98065,,643,,70799,566,83534,
2006-03-01,108673,,730,,80759,586,93905,
2006-04-01,107861,,699,,79892,496,93097,
2006-05-01,115173,,753,,81626,502,93247,
2006-06-01,107973,,728,,79622,431,92171,
2006-07-01,109012,,744,,82300,647,95370,
2006-08-01,110572,,759,,79127,526,92310,
2006-09-01,108688,,716,,70208,451,83289,
2006-10-01,116350,,750,,78943,413,94868,
2006-11-01,106508,,683,,73884,962,85684,
2006-12-01,109842,,689,,72789,741,87811,
2007-01-01,113231,,718,,72779,975,87834,
2007-02-01,100190,,648,,74843,1033,85839,
2007-03-01,116418,,750,,89065,1214,102630,
2007-04-01,110848,,722,,88999,1085,100966,
2007-05-01,116361,,750,,88216,723,100902,
2007-06-01,109708,,723,,84323,704,98215,
2007-07-01,112774,,740,,82935,1114,97111,
2007-08-01,104812,,722,,82686,1145,94730,
2007-09-01,102557,,686,,71806,882,83586,
2007-10-01,111859,,741,,79546,739,92215,
2007-11-01,106571,,706,,78734,839,90535,
2007-12-01,102773,,684,,71007,637,83882,
2008-01-01,103472,,668,,69381,623,82007,
2008-02-01,101380,,660,,75754,767,85649,
2008-03-01,110775,,698,,86210,1125,99678,
2008-04-01,103121,,712,,82481,608,92594,
2008-05-01,104447,,719,,79471,524,89487,
2008-06-01,102655,,697,,81143,261,91953,
2008-07-01,97808,,675,,76051,320,85467,
2008-08-01,96943,,664,,79902,368,87680,
2008-09-01,96708,,604,,72534,385,85564,
2008-10-01,100202,,621,,77463,396,90198,
2008-11-01,94725,,563,,69507,547,80518,
2008-12-01,98700,,591,,72208,465,82834,
2009-01-01,90163,,576,,65786,563,73503,
2009-02-01,91175,,554,,66199,287,76011,
2009-03-01,106903,,633,,80252,475,94301,
2009-04-01,97162,,599,,75196,678,88107,
2009-05-01,99593,,613,,73002,605,85190,
2009-06-01,107324,,640,,78313,405,95059,
2009-07-01,110098,,658,,82646,613,99555,
2009-08-01,109659,,664,,81523,588,99115,
2009-09-01,98816,,600,,71839,567,84399,
2009-10-01,101902,,612,,77030,407,91184,
2009-11-01,100108,,561,,72391,402,85715,
2009-12-01,98506,,572,,69306,412,80226,
2010-01-01,98821,,575,,70182,449,81871,
2010-02-01,87676,,505,,62565,415,73203,
2010-03-01,103874,,573,,75008,581,90863,
2010-04-01,105681,,579,,75521,671,92578,
2010-05-01,111142,,610,,75543,780,92725,
2010-06-01,100041,,557,,73768,412,89732,
2010-07-01,98038,,576,,76144,397,88905,
2010-08-01,112112,,618,,85712,372,103607,
2010-09-01,105292,,583,,76651,362,88993,
2010-10-01,114925,,626,,82191,470,97717,
2010-11-01,96819,,565,,75389,415,85544,
2010-12-01,95872,,569,,71650,315,83067,
2011-01-01,98209,,586,,68734,542,82098,
2011-02-01,86487,,495,,62211,380,74122,
2011-03-01,95226,,522,,68665,251,85689,
2011-04-01,90173,,467,,64901,37,82269,
2011-05-01,87975,,483,,63671,56,79655,
2011-06-01,91040,,492,,65950,153,82315,
2011-07-01,93065,,503,,66825,230,84046,
2011-08-01,94677,,520,,71513,305,87918,
2011-09-01,89946,,523,,69607,674,81519,
2011-10-01,93983,,530,,69634,520,82436,
2011-11-01,86952,,501,,66401,143,77312,
2011-12-01,89893,,509,,64743,272,77306,
2012-01-01,162578,,765,,96599,91,132445,
2012-02-01,155782,,728,,94213,338,127804,
2012-03-01,167489,,804,,108455,328,147577,
2012-04-01,161708,,759,,105267,358,147202,
2012-05-01,161155,,779,,100798,258,141405,
2012-06-01,171773,,832,,109181,241,153243,
2012-07-01,183338,,864,,117266,464,161774,
2012-08-01,179111,,844,,117866,232,161836,
2012-09-01,154630,,771,,99746,6,133212,
2012-10-01,150035,,762,,101679,68,133436,
2012-11-01,143811,,694,,95895,34,126749,
2012-12-01,151788,,730,,92367,21,127661,
2013-01-01,143021,,699,,91220,17,122356,
2013-02-01,132699,,651,,84763,5,113409,
2013-03-01,145826,,727,,94506,,129399,
2013-04-01,142425,,674,,89877,9,125896,
2013-05-01,151536,,730,,96225,39,132411,
2013-06-01,151742,,734,,94994,28,138303,
2013-07-01,167500,,801,,106642,57,149154,
2013-08-01,167573,192,823,1,111638,47,152928,170
2013-09-01,148866,,758,,96678,13,128039,
2013-10-01,157239,,780,,102919,0,135304,
2013-11-01,147178,,722,,97452,39,126860,
2013-12-01,140679,,706,,94818,26,126531,
2014-01-01,141180,,709,,88937,1,116244,
2014-02-01,122459,,620,,81694,4,104387,
2014-03-01,135597,,659,,91987,7,123510,
2014-04-01,126763,,673,,95288,103,117506,
2014-05-01,139652,,712,,95610,41,123282,
2014-06-01,159735,,731,,101879,59,142763,
2014-07-01,175743,,812,,109124,9,150601,
2014-08-01,158885,,747,,108403,40,148923,
2014-09-01,136673,,659,,90018,47,119960,
2014-10-01,144240,,692,,92595,5,126791,
2014-11-01,134245,,663,,84175,17,113213,
2014-12-01,132062,,632,,83818,34,116094,
2015-01-01,113833,,560,,75354,12,99028,
2015-02-01,107200,,527,,72945,4,94466,
2015-03-01,142158,,682,,93419,7,125770,
2015-04-01,139005,,672,,93598,63,124960,
2015-05-01,153414,,750,,102561,1,134719,
2015-06-01,162560,,766,,104908,21,140692,
2015-07-01,175558,,785,,109604,214,151421,
2015-08-01,167681,,773,,111563,91,151640,
2015-09-01,146830,,703,,97901,0,130605,
2015-10-01,157508,,764,,107544,1,142981,
2015-11-01,148698,,712,,98896,3,130574,
2015-12-01,147280,,704,,95885,,128523,
2016-01-01,127908,,621,,84373,,108673,
2016-02-01,122441,,580,,78160,,100982,
2016-03-01,140621,,651,,90533,,122133,
2016-04-01,143166,,659,,91759,,124670,
2016-05-01,151987,,698,,96709,,131685,
2016-06-01,152604,,721,,100548,,135132,
2016-07-01,158865,,750,,106106,,143191,
2016-08-01,169337,,850,,116510,,150136,
2016-09-01,155157,,766,,106289,,137389,
2016-10-01,164282,,815,,113819,,145201,
2016-11-01,153119,,756,,105041,,134486,
2016-12-01,157809,,744,,104865,4,138316,
2017-01-01,142430,,712,,91263,,115543,
2017-02-01,126314,,643,,85352,,105195,
2017-03-01,152194,,749,,106998,,134914,
