Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,223018,40699,1169,31,116421,7320,151741,35462
2002-11-01,180793,39473,975,30,103636,6131,133865,31628
2002-12-01,200810,40794,1064,31,128859,6373,166788,32620
2003-01-01,187692,40856,994,32,103216,6646,134362,34253
2003-02-01,164451,36845,887,28,95081,5490,122768,27870
2003-03-01,187131,40794,999,31,109727,6309,144979,32072
2003-04-01,164899,39449,895,30,107134,4175,135451,19996
2003-05-01,182280,40799,974,31,117966,6124,153102,29735
2003-06-01,215305,40908,1079,31,139646,7190,181619,32628
2003-07-01,242676,40780,1203,31,157725,7457,201759,32682
2003-08-01,236269,40780,1191,31,157972,8577,201025,37847
2003-09-01,198117,39487,1079,30,125861,8880,160612,35458
2003-10-01,206948,40789,1127,31,120441,7884,152445,35100
2003-11-01,177597,39311,985,30,112463,6675,139742,32639
2003-12-01,190977,40360,1065,31,124814,7279,155909,35210
2004-01-01,184104,38972,1017,31,100592,6700,124720,32348
2004-02-01,167699,38642,900,30,96039,6515,119060,31728
2004-03-01,182212,40179,977,31,117369,7759,148731,35381
2004-04-01,179411,37074,1024,30,120464,6211,148837,27922
2004-05-01,204433,38071,1097,31,126784,7270,159391,35639
2004-06-01,222859,38448,1200,31,151470,7776,192673,36159
2004-07-01,236194,37999,1281,31,160579,6854,204722,30111
2004-08-01,237460,38023,1286,31,170990,7882,217371,34113
2004-09-01,203564,36769,1083,30,133104,7585,168848,31723
2004-10-01,196310,36817,1049,30,112281,6317,141681,29058
2004-11-01,161034,36864,843,30,102309,5528,127033,27546
2004-12-01,174582,38047,885,31,116848,5976,147496,29725
2005-01-01,142208,39206,788,32,95229,6099,115657,30483
2005-02-01,128474,34404,697,28,84265,5156,101811,25204
2005-03-01,145896,38095,772,31,97475,6827,122646,32815
2005-04-01,138025,36769,740,30,95925,5407,117814,25366
2005-05-01,163724,38071,843,31,112818,6726,141757,31151
2005-06-01,180124,36340,990,30,129917,7432,163198,32968
2005-07-01,191721,37499,1064,31,136335,7459,171802,31680
2005-08-01,184628,38750,1026,32,141195,8035,170828,35436
2005-09-01,174365,36674,955,30,116140,7364,145893,32391
2005-10-01,177532,38071,973,31,108310,6694,138135,32825
2005-11-01,161468,36864,931,30,106918,5425,132407,27875
2005-12-01,176086,38023,969,31,115941,5990,146088,31208
2006-01-01,161333,37904,879,31,96365,5839,123093,30135
2006-02-01,146439,34404,791,28,91795,5127,115629,26015
2006-03-01,164306,38095,880,31,112164,6978,143061,33531
2006-04-01,160767,36864,861,30,106882,5756,135441,27760
2006-05-01,185816,38071,931,31,120178,6881,153909,31142
2006-06-01,186199,36769,963,30,133386,7308,168344,33917
2006-07-01,193098,37928,1005,31,136425,6645,172270,29849
2006-08-01,194570,38047,1016,31,137886,7514,173092,33116
2006-09-01,167759,36737,879,31,113447,7102,146329,29737
2006-10-01,172879,36880,903,31,101743,6110,131857,27791
2006-11-01,155341,36364,819,30,98405,5804,124281,26606
2006-12-01,164292,38824,859,32,106211,6472,136094,31432
2007-01-01,159591,37475,877,31,89610,5429,115717,26363
2007-02-01,138286,33903,772,28,84124,5286,105294,24942
2007-03-01,162963,37522,884,31,112421,7154,141790,34418
2007-04-01,155196,36268,848,30,106799,5493,134413,24775
2007-05-01,169334,37451,886,31,112446,7065,143949,33617
2007-06-01,160828,39272,855,32,112889,7580,145089,37489
2007-07-01,165096,37499,885,31,117284,7387,149382,32548
2007-08-01,166539,37642,888,31,125530,8010,158757,35100
2007-09-01,151315,36364,815,30,103339,7233,131979,31857
2007-10-01,157930,37642,844,31,99695,6442,128783,30426
2007-11-01,155158,36745,817,30,100142,5388,128165,26454
2007-12-01,153218,40112,804,32,98003,6342,124829,32606
2008-01-01,130254,38023,716,31,77203,5404,102106,27002
2008-02-01,126279,36817,690,30,75727,4903,98741,24322
2008-03-01,146470,37856,778,31,97827,6252,127825,29930
2008-04-01,140639,37713,732,31,90144,4911,119332,24379
2008-05-01,146231,37737,752,31,95024,5449,124985,27179
2008-06-01,154310,35324,815,29,107974,6240,138983,30631
2008-07-01,156402,36483,846,30,109085,5590,141375,26597
2008-08-01,159346,37999,850,31,116795,6555,149372,30808
2008-09-01,147169,36745,737,30,101304,6188,131907,29706
2008-10-01,151337,38071,757,31,97797,5137,127374,25838
2008-11-01,119593,36864,574,30,73630,4431,98409,22543
2008-12-01,122351,36864,587,30,80570,5556,106301,28590
