Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,985766,645370,4788,463,464452,97097,644128,536369
2002-11-01,899154,613277,4165,446,429162,82092,585104,453245
2002-12-01,954118,638198,4437,465,508922,93150,695392,511758
2003-01-01,887358,615757,4201,464,404639,87548,560104,482881
2003-02-01,782925,555830,3719,436,369784,74215,505693,392785
2003-03-01,896694,616877,4226,496,440496,83763,624619,423603
2003-04-01,845688,479619,3788,401,413265,52872,613497,238878
2003-05-01,802698,369671,3678,365,409478,64117,601931,288133
2003-06-01,860675,501342,3825,433,468695,86723,706680,417166
2003-07-01,946648,579064,4097,500,499288,100670,751900,492458
2003-08-01,941471,638354,4073,532,499334,109588,755994,550394
2003-09-01,812374,603367,3748,485,390281,99789,565092,513919
2003-10-01,846630,621290,3933,495,421814,100556,616000,526139
2003-11-01,805417,598894,3646,477,406903,93857,579303,499281
2003-12-01,873644,617429,3930,496,447422,100278,646631,526242
2004-01-01,859345,629415,3934,496,376271,95089,553284,504001
2004-02-01,808340,584138,3593,464,372973,89430,536165,464422
2004-03-01,901138,625422,3966,496,451212,103098,660577,534803
2004-04-01,915678,610892,3841,479,462990,94134,701436,488202
2004-05-01,935388,630588,3977,499,467162,106839,705743,561225
2004-06-01,934416,645762,4024,533,516682,115325,781838,595911
2004-07-01,973288,680200,4207,562,535534,108030,799115,556749
2004-08-01,982648,681628,4234,562,529434,111385,787013,577403
2004-09-01,871569,656490,3926,521,441835,104668,636276,549157
2004-10-01,862383,673938,3953,525,461122,102333,663127,553680
2004-11-01,759169,660527,3503,509,418481,92601,582042,488418
2004-12-01,804051,692432,3613,562,439506,108239,619316,554672
2005-01-01,731706,697808,3390,593,377264,105020,531459,529636
2005-02-01,669117,628873,3120,521,352347,91367,496336,465679
2005-03-01,772071,701028,3557,567,439995,113798,638399,590081
2005-04-01,752478,714534,3408,575,411477,107513,610961,551702
2005-05-01,815324,731228,3673,567,449015,121521,659868,637139
2005-06-01,828940,706841,3701,570,499019,126014,745105,647995
2005-07-01,865841,732411,3829,598,497012,118576,747873,606311
2005-08-01,865100,734048,3861,597,489383,119489,731646,614130
2005-09-01,759260,665400,3661,504,423881,106510,605424,561600
2005-10-01,781507,681110,3815,528,445728,109416,631562,582795
2005-11-01,758246,632419,3641,494,439657,98285,618611,510860
2005-12-01,803020,678248,3788,566,453135,113028,639030,564770
2006-01-01,772806,666540,3679,543,391261,101449,556493,514342
2006-02-01,714457,597236,3325,499,375593,92644,537214,461230
2006-03-01,807286,662413,3718,561,454797,116133,661757,574981
2006-04-01,792371,683432,3683,574,456151,110445,658921,540184
2006-05-01,804626,702944,3764,569,451651,120776,654933,618403
2006-06-01,844719,684858,3798,591,501567,127203,744613,637627
2006-07-01,884988,711364,3937,624,511674,122228,753039,605223
2006-08-01,890153,709281,4074,624,487241,121805,710252,597168
2006-09-01,793412,683800,3735,561,429583,110945,617903,569861
2006-10-01,828197,705731,3879,567,455225,117204,653740,612307
2006-11-01,796478,677738,3708,598,440812,110776,627189,564502
2006-12-01,809675,699760,3723,631,452014,120769,655388,592060
2007-01-01,784473,695802,3647,607,394541,108346,574658,553055
2007-02-01,695386,626446,3295,537,381734,99095,539455,501923
2007-03-01,807344,695435,3824,596,479994,122244,678670,622872
2007-04-01,771486,706706,3699,587,478225,110735,669428,560441
2007-05-01,790591,779221,3849,642,473215,132932,673476,674208
2007-06-01,807587,795867,3762,665,500364,143835,735908,729132
2007-07-01,835085,833134,3828,697,488300,137721,724052,702601
2007-08-01,846519,837274,3887,699,494642,136071,742017,686815
2007-09-01,771004,797102,3570,624,424401,121835,622761,640698
2007-10-01,801369,823104,3746,667,450980,130012,656072,686811
2007-11-01,777498,759890,3615,622,433373,114847,634126,597350
2007-12-01,788763,784658,3664,652,424946,128061,621288,654312
2008-01-01,742247,781649,3474,642,361269,112920,528846,588045
2008-02-01,711777,748324,3384,609,378089,107972,539614,560328
2008-03-01,782201,805041,3653,655,449565,131020,654374,672061
2008-04-01,760117,778425,3696,635,440046,112972,642607,568027
2008-05-01,780361,807685,3770,659,453329,132479,664095,669203
2008-06-01,823115,785963,3822,658,493029,137576,735787,684561
2008-07-01,867400,815621,3959,681,490844,132216,738662,655940
2008-08-01,856155,820128,3905,687,497964,131914,730320,649931
2008-09-01,729233,727451,3343,570,412972,110170,595155,560432
2008-10-01,754092,726681,3462,575,435758,111558,634743,582584
2008-11-01,694302,613179,3161,504,377400,86674,551922,440704
2008-12-01,746851,643773,3307,541,415253,104545,610460,520706
2009-01-01,697145,649346,3101,534,360330,89917,538856,460769
2009-02-01,644445,578709,2898,477,343470,78487,500629,392720
2009-03-01,749433,652638,3350,537,428168,95312,629398,474225
2009-04-01,719991,682565,3147,544,419068,96478,631338,487660
2009-05-01,743995,698724,3213,530,426003,99506,642149,514028
2009-06-01,779902,677406,3282,577,461912,119054,714228,596841
2009-07-01,814542,696821,3466,581,476975,113518,727343,576020
2009-08-01,819666,701688,3473,584,471501,114393,723950,564494
2009-09-01,704311,674371,3057,537,406683,109285,615772,548883
2009-10-01,745017,622266,3200,501,424745,99328,651731,525032
2009-11-01,710317,507873,3030,436,401557,78606,606532,410836
2009-12-01,742241,529289,3134,466,420156,92425,626648,469631
2010-01-01,876916,530107,3217,455,425861,83399,694919,435992
2010-02-01,639370,472558,2774,423,353997,78433,523386,384521
2010-03-01,755399,558280,3220,497,437471,93867,653739,461927
2010-04-01,753506,666177,3158,537,434865,97528,656396,484341
2010-05-01,769704,725436,3243,577,443684,118539,664513,598171
2010-06-01,777100,717939,3178,571,462257,128361,716044,650940
2010-07-01,809023,751579,3269,597,457913,122891,718387,621409
2010-08-01,820633,746921,3318,586,467528,124216,733474,631605
2010-09-01,753490,715081,3151,536,431566,116771,657699,604317
2010-10-01,783965,735602,3272,552,451155,119463,690922,632911
2010-11-01,750407,592486,3044,469,421314,94608,644125,489767
2010-12-01,763139,599855,3101,510,420764,102127,646811,515438
2011-01-01,698013,597481,2954,473,366602,90811,563279,488479
2011-02-01,638978,539513,2684,434,344736,81956,528875,430259
2011-03-01,753557,614663,3100,511,410246,95260,649641,480186
2011-04-01,727276,678960,2865,557,395504,103947,630205,522593
2011-05-01,772826,754212,3060,599,424736,126839,676966,641356
2011-06-01,856085,717279,3269,570,480492,126622,789151,635572
2011-07-01,889659,752063,3393,595,490176,123960,804716,619336
2011-08-01,862454,751845,3361,579,473196,124212,768782,629974
2011-09-01,763655,718310,3200,557,437998,115769,672689,586679
2011-10-01,799537,733092,3328,567,447575,118795,698239,620526
2011-11-01,728260,564560,3118,456,417274,92248,636085,460575
2011-12-01,781546,611300,3251,512,435008,106078,674708,523096
2012-01-01,879230,629991,3751,568,458513,100726,721765,484754
2012-02-01,854380,587334,3536,532,440893,92481,694587,438774
2012-03-01,953206,646380,3790,585,508219,109271,828768,507118
2012-04-01,965974,749141,3787,650,504350,118577,833397,566771
2012-05-01,1027202,766821,3946,698,528765,140321,890784,655694
2012-06-01,1137551,751489,4294,683,597909,143292,1013193,668713
2012-07-01,1156750,786346,4440,732,604030,140154,1009291,637965
2012-08-01,1166127,790173,4536,736,622767,148659,1034071,689970
2012-09-01,1001233,740009,4121,667,533174,127422,851994,605829
2012-10-01,1006937,743525,4068,650,554174,130110,890695,636384
2012-11-01,945713,605882,3741,541,503558,103645,813138,483942
2012-12-01,955782,630223,3707,585,499698,118103,820640,545799
2013-01-01,885074,646778,3627,585,450514,106223,733924,502258
2013-02-01,793970,569689,3293,524,424912,96331,674967,451912
2013-03-01,951027,647214,3856,565,521957,114357,848439,537819
2013-04-01,998263,733650,3888,585,521734,111461,873941,530166
2013-05-01,1082585,861443,4201,690,568719,153683,949347,743650
2013-06-01,1162588,833109,4441,660,615509,157028,1055963,758179
2013-07-01,1185015,824624,4655,681,612232,146938,1036062,691534
2013-08-01,1214128,854531,4794,725,644947,160284,1085315,752448
2013-09-01,1076490,826513,4344,667,556471,140796,924596,676411
2013-10-01,1114864,818578,4418,617,575252,135922,953202,674359
2013-11-01,1070380,676742,4140,529,541491,108239,890690,522436
2013-12-01,1074364,695636,4159,574,578474,124813,956238,593814
2014-01-01,995606,681219,3917,560,503783,113044,827536,548046
2014-02-01,884916,633471,3517,548,458950,108632,734057,506139
2014-03-01,1073912,735420,4067,645,561206,129105,945084,589633
2014-04-01,1116937,783806,4337,635,591921,124133,976726,598987
2014-05-01,1168318,871319,4508,722,612668,160104,1021175,778298
2014-06-01,1229418,866214,4659,720,639616,164400,1089196,790867
2014-07-01,1286986,900829,4858,728,640303,159679,1097188,768130
2014-08-01,1263123,902024,4761,715,658697,163717,1126708,802047
2014-09-01,1138568,838705,4368,621,572018,139157,953661,708208
2014-10-01,1181949,841927,4578,629,602529,137241,999226,694761
2014-11-01,1051221,701873,4061,583,539966,113839,886746,541397
2014-12-01,1119589,709559,4187,586,571779,122845,963454,594544
2015-01-01,961225,751846,3686,609,490634,115416,799968,569242
2015-02-01,864378,660973,3391,546,455816,108408,725826,524420
2015-03-01,1070164,754338,3986,645,562610,136904,938080,652106
2015-04-01,1071362,788937,3930,678,563094,128227,944983,594530
2015-05-01,1215997,886630,4321,713,612091,156450,1051638,758768
2015-06-01,1264701,886695,4418,697,650974,162635,1135450,798482
2015-07-01,1326766,924701,4663,782,675006,160082,1167804,736911
2015-08-01,1285453,920143,4620,773,662527,166161,1130110,784382
2015-09-01,1139240,854859,4182,676,599068,141461,990974,687416
2015-10-01,1198555,837549,4384,616,628716,135505,1049165,689085
2015-11-01,1070727,705772,4021,584,565252,116979,917163,559131
2015-12-01,1124483,720818,4033,623,580773,129897,971325,607561
2016-01-01,939830,740386,3616,632,488344,117459,776836,566530
2016-02-01,917589,693048,3547,599,474258,114044,745349,536653
2016-03-01,1131758,786853,4136,671,585413,133511,963650,617760
2016-04-01,1117050,831073,4162,714,570272,133576,936269,620342
2016-05-01,1233293,929057,4474,772,620852,158972,1036532,760630
2016-06-01,1288021,990701,4694,823,700319,186249,1159330,909486
2016-07-01,1373362,1067862,5080,892,736013,182154,1193918,874063
2016-08-01,1404785,1052544,5392,849,739214,176246,1180864,869129
2016-09-01,1219657,983045,4684,752,647544,152771,1024036,775523
2016-10-01,1255811,1049666,4793,802,663744,156196,1050509,807586
2016-11-01,1153321,974018,4367,759,621978,143320,973317,723639
2016-12-01,1202345,1025867,4378,848,627646,174466,1011965,861738
2017-01-01,996041,,3791,,515354,,809726,
2017-02-01,933439,,3576,,493396,,756620,
2017-03-01,1172492,,4446,,655782,,1019356,
