Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,34402,,403,,29328,54,21210,
2002-11-01,31455,,374,,25790,,18162,
2002-12-01,33720,,398,,32701,,22965,
2003-01-01,32057,,374,,33337,,23880,
2003-02-01,29800,,334,,29978,,21960,
2003-03-01,33671,,365,,35265,,26882,
2003-04-01,25726,,284,,24206,,19088,
2003-05-01,25509,,279,,23620,,18787,
2003-06-01,26734,,289,,26695,,21296,
2003-07-01,28658,,308,,28669,,22470,
2003-08-01,28553,,307,,29373,,22766,
2003-09-01,27560,,298,,23941,,18344,
2003-10-01,28646,,310,,27386,51,21080,
2003-11-01,25251,,292,,22458,,16290,
2003-12-01,26748,,306,,26289,,19838,
2004-01-01,27990,,306,,30080,,22422,
2004-02-01,25672,,273,,28554,,22232,
2004-03-01,26909,,281,,31066,,24739,
2004-04-01,25417,,270,,27506,34,22522,
2004-05-01,25464,,275,,26208,0,20648,
2004-06-01,26697,,295,,28832,,22498,
2004-07-01,27598,,308,,29765,,23193,
2004-08-01,28661,,309,,30980,,24073,
2004-09-01,26585,,294,,26928,,20819,
2004-10-01,26857,,305,,26551,0,20054,
2004-11-01,24920,,269,,21291,9,16834,
2004-12-01,26867,,280,,24623,18,20070,
2005-01-01,26913,,278,,27002,66,21568,
2005-02-01,24674,,252,,25745,40,20970,
2005-03-01,25789,,252,,26511,,22909,
2005-04-01,23520,,234,,20939,,18411,
2005-05-01,24713,,243,,21359,28,18286,
2005-06-01,24469,,240,,23804,6,21198,
2005-07-01,24691,,243,,24399,,21371,
2005-08-01,25022,,247,,23890,,21157,
2005-09-01,24094,,237,,21747,,19212,
2005-10-01,24776,,247,,22406,1,19910,
2005-11-01,23555,,232,,19371,44,16624,
2005-12-01,24659,,247,,22740,19,18927,
2006-01-01,25460,,244,,25782,,22015,
2006-02-01,22826,,225,,22501,,19346,
2006-03-01,25957,,273,,28659,,23556,
2006-04-01,24028,,234,,23013,79,20180,
2006-05-01,24531,,244,,22606,63,20014,
2006-06-01,24133,,243,,22704,17,20034,
2006-07-01,25039,,246,,23176,,20777,
2006-08-01,24715,,247,,23996,0,21060,
2006-09-01,23900,,233,,22000,48,19384,
2006-10-01,24588,,242,,22734,49,19549,
2006-11-01,18757,,204,,17693,,13579,
2006-12-01,19707,,202,,18037,,14697,
2007-01-01,21929,,194,,21857,48,18493,
2007-02-01,21258,,177,,19795,18,17709,
2007-03-01,27753,,241,,26922,,24376,
2007-04-01,23410,,199,,20111,,18908,
2007-05-01,18606,,168,,16925,,15668,
2007-06-01,18854,,177,,18341,,16855,
2007-07-01,18473,,181,,17655,,15505,
