Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,39488,,282,,27978,561,30056,
2002-11-01,49539,,288,,33873,395,35950,
2002-12-01,50696,,299,,38130,295,41340,
2003-01-01,48985,,283,,35416,425,38428,
2003-02-01,45676,,253,,34137,300,36925,
2003-03-01,55310,,306,,46711,384,49702,
2003-04-01,51330,,307,,42637,402,45009,
2003-05-01,42173,,258,,35058,450,37689,
2003-06-01,34270,,240,,27796,386,30202,
2003-07-01,32626,,249,,26244,424,28768,
2003-08-01,32559,,247,,25233,448,27429,
2003-09-01,37765,,265,,22656,417,24794,
2003-10-01,41383,,287,,27912,460,29872,
2003-11-01,46500,,304,,33264,392,35487,
2003-12-01,48986,,312,,33438,320,36662,
2004-01-01,56331,,334,,35381,408,39656,
2004-02-01,52725,,318,,39458,347,43389,
2004-03-01,57435,,340,,48380,479,53047,
2004-04-01,57682,,337,,49026,17,53092,
2004-05-01,56107,,344,,46243,,50290,
2004-06-01,59674,,361,,49233,,53409,
2004-07-01,61021,,367,,48852,,52888,
2004-08-01,59758,,359,,46128,,49568,
2004-09-01,54194,,324,,36997,,39880,
2004-10-01,61812,,371,,47529,,51031,
2004-11-01,59443,,358,,45020,,48100,
2004-12-01,61531,,370,,44725,,48292,
2005-01-01,61545,,370,,46827,,50510,
2005-02-01,55831,,335,,44143,,47529,
2005-03-01,61723,,372,,50763,,54140,
2005-04-01,58918,,355,,49620,,52678,
2005-05-01,61597,,370,,52384,,56382,
2005-06-01,59585,,361,,46443,,50644,
2005-07-01,61061,,368,,46680,,50782,
2005-08-01,61561,,372,,45848,,49376,
2005-09-01,59256,,356,,42667,,45854,
2005-10-01,61845,,372,,45164,,48483,
2005-11-01,59333,,357,,46193,,49586,
2005-12-01,60985,,367,,45212,,49365,
2006-01-01,61501,,370,,48292,,52358,
2006-02-01,57852,,339,,45186,,49919,
2006-03-01,65276,86,380,1,50756,0,56365,38
2006-04-01,53562,,316,,44130,,48276,
2006-05-01,52767,,309,,45073,,49750,
2006-06-01,51306,,300,,41817,,46288,
2006-07-01,51583,,302,,39936,,44167,
2006-08-01,52896,,309,,35803,,39504,
2006-09-01,50607,,296,,34321,,37833,
2006-10-01,53182,,311,,40061,,44246,
2006-11-01,65963,,390,,46370,,50510,
